"","logFC","logCPM","PValue","FDR"
"MSTRG.792",-0.867747045474225,6.17891258865697,0.00669742971046396,0.0435046716235266
"MSTRG.7212",-0.868450796119426,3.74554065573978,0.00156855751134083,0.0132824925751424
"MSTRG.7674",-0.871192528270172,3.51138582366585,0.00211874581753227,0.0169611251752419
"MSTRG.13209",-0.872125306348909,5.1675910364526,0.00143881181676712,0.0123996822763205
"MSTRG.9145",-0.873602325001392,6.58941909805407,0.00586989184880586,0.0390897507565604
"MSTRG.17236",-0.875804332195225,3.25671557001183,0.00671050334380032,0.043566321762206
"MSTRG.10984",-0.880596387856435,5.28715808628725,0.00189760343217426,0.0154553635199189
"MSTRG.8286",-0.881147617581031,2.10123224158877,0.00576753860434896,0.0385136021026268
"MSTRG.6354",-0.885137809003673,4.81274888614358,0.00142802886778381,0.0123329765854056
"MSTRG.1709",-0.885413883422126,4.85287123529718,0.00312470000460059,0.0232678212222554
"MSTRG.9417",-0.886179424637177,2.8832955981132,0.00358438494005557,0.0262638408759207
"MSTRG.3409",-0.886224153865457,3.89637959645183,0.00441345374093494,0.0311056124009744
"MSTRG.1011",-0.886652324659384,5.14039348678181,0.00105753483831558,0.00953978014385566
"MSTRG.7698",-0.887171711724436,5.14148942862489,0.00532237609003128,0.0361564766786482
"MSTRG.5444",-0.88965296860104,2.76291702132728,0.00308404856949447,0.023063979461902
"MSTRG.17226",-0.891866879944348,2.41565439881636,0.00486165953657166,0.0335705735177237
"MSTRG.10922",-0.893599041036803,5.36360148549517,0.00542738867667862,0.036685406508289
"MSTRG.16920",-0.893652283755963,6.92886398627861,0.00420396999906355,0.0299518398562615
"MSTRG.11750",-0.89391721177638,6.79165107084491,0.00628026572856688,0.0411909553718302
"MSTRG.4520",-0.894257664096936,5.59560511462918,0.00226523336509212,0.0179564783047719
"MSTRG.11486",-0.894824791045305,2.53062778559905,0.00471568683194624,0.0327485733160858
"MSTRG.2623",-0.894868066374978,4.76748497677651,0.000292315035502613,0.0032912507701035
"MSTRG.13840",-0.8948740039946,3.31976966465455,0.00241258867558112,0.0188905848648206
"MSTRG.17927",-0.900618238621944,3.28999954700658,0.00115643366390828,0.0103020024565016
"MSTRG.6084",-0.902479906535608,2.6905399810751,0.00757272460866481,0.0482369466953191
"MSTRG.14500",-0.90301282784251,3.77276614634692,0.00132144615288615,0.0115286189263749
"MSTRG.6895",-0.906462453552177,3.60209532683484,0.00124192166404274,0.0109433097353331
"MSTRG.3416",-0.907315657252359,6.46918772671581,0.00264340512069164,0.0203184616103731
"MSTRG.3323",-0.907431641731706,4.75607066918141,0.000221548593544934,0.00264639577358192
"MSTRG.15320",-0.910178384361295,3.64143523931067,0.000764722252967076,0.00729907582109862
"MSTRG.11262",-0.913175628381533,4.22831885709704,0.000654408061645157,0.00639191863395243
"MSTRG.8099",-0.919217799109782,4.16762755281529,0.000398255444710784,0.00427053457467648
"MSTRG.3494",-0.921040528524938,3.74043591538347,0.000783211398671718,0.00746383276477123
"MSTRG.9743",-0.921075341252025,3.0610955441057,0.00197354004130539,0.0159881724865247
"MSTRG.11385",-0.921943823434224,3.91620738638676,0.00079916600815345,0.00759801302513366
"MSTRG.4374",-0.923816553376292,3.02017554148453,0.00508911628219261,0.0348836831969911
"MSTRG.16086",-0.925456513772425,7.47699561451702,0.00213617205412648,0.0170669199593811
"MSTRG.2891",-0.926699577663191,3.77243305596117,0.00230788292643787,0.0181760727885263
"MSTRG.2315",-0.926758788029194,6.31716823515393,0.00428999632165102,0.0303822686495495
"MSTRG.11781",-0.927059140096571,6.37539333313866,0.00304959777076483,0.0228484959288357
"MSTRG.5508",-0.928728942532921,7.98382811554001,0.00398186208329637,0.028562996022092
"MSTRG.8389",-0.930129784845022,4.79604270600798,0.00291599509596245,0.022051306198323
"MSTRG.12518",-0.930316244788379,6.58847536009417,0.00465243512823726,0.0324948944051494
"MSTRG.11153",-0.930505224766802,5.43719517754606,0.00200623922458823,0.0161991161825982
"MSTRG.3917",-0.933748799354882,4.8440301156783,0.0042158848679796,0.029979625727855
"MSTRG.3840",-0.933926100784031,5.99859705749149,0.00186958907540823,0.0152783623366694
"MSTRG.13181",-0.934468161740131,3.98074927351554,0.000865466997971448,0.00812043109207779
"MSTRG.2193",-0.934604055078324,6.27164753177642,0.00583920973846317,0.0389280649230878
"MSTRG.13016",-0.935425404157318,4.20696398579214,0.00362052608912797,0.0264259287177648
"MSTRG.4357",-0.936424508704288,4.00795719343631,0.00390717987425334,0.028137935269994
"MSTRG.7281",-0.936930058252335,6.49859504632522,0.00262131056743619,0.0202381819047772
"MSTRG.9081",-0.938342820349423,3.80921253332468,0.00143164489376065,0.0123554307367846
"MSTRG.1683",-0.938485560694633,7.40539187080154,0.00441515518125673,0.0311056124009744
"MSTRG.15745",-0.944924252272877,5.35179118498543,0.00149623836003066,0.0128243510609534
"MSTRG.10766",-0.945367445267854,5.28842326695891,0.00332279931263228,0.0246373412448832
"MSTRG.1192",-0.946230206791931,4.87812153246257,0.00201008705959844,0.0162086595787248
"MSTRG.4473",-0.946363980720414,2.01987240387099,0.0043117079862334,0.030500505591971
"MSTRG.14796",-0.947044147365539,4.03396660187965,0.000407820771077526,0.00436156603016949
"MSTRG.5320",-0.949547895154625,1.79825329231896,0.00462416281233594,0.0323531759482193
"MSTRG.1169",-0.949793223295441,5.03279535858244,0.00189918495014771,0.0154578908927685
"MSTRG.14453",-0.952041760464054,4.67652235713757,0.000343784349338602,0.00377976282817125
"MSTRG.8846",-0.952196330680877,2.40831276434572,0.0071488230130903,0.045970220962019
"MSTRG.7880",-0.952399536336204,4.89740152748269,0.000283865697105847,0.00322900549748091
"MSTRG.14325",-0.956127431938814,4.18078142152581,0.00127045839999697,0.0111463016911711
"MSTRG.13535",-0.958717459184405,5.78476841722906,0.00103016575618793,0.00932054731789084
"MSTRG.16101",-0.960343090204072,4.37255486034898,0.000238555555766146,0.00281908217504018
"MSTRG.15616",-0.961089274169886,4.18241558896843,0.00227715737011296,0.0180040530692937
"MSTRG.6551",-0.962406836471924,2.44997238591338,0.00626457079652543,0.0411522999523717
"MSTRG.6656",-0.962465778693379,4.84155343357177,0.00150336322425431,0.0128467300118991
"MSTRG.3600",-0.963003274881178,4.13497020276821,0.000610371870455351,0.00606382511824924
"MSTRG.3976",-0.964897426069766,5.89046886488069,0.000938961007471058,0.00864982261427883
"MSTRG.6264",-0.965486657424864,1.93329100735737,0.00789126560059418,0.0498741110723624
